id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
156,QING,100,0,0,first_order,1.0077452365143177e-12,0.0015909671783447266,11,9.453021005161866e-6,0.0,14,12,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,
157,RAT42LS,3,0,0,first_order,8.05652293418358,0.000743865966796875,11,0.052294440082421005,0.0,18,12,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,
158,RAT43LS,4,0,0,first_order,1.0764616570666323e6,0.0005099773406982422,3,0.8928180405361182,0.0,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
159,RECIPELS,3,0,0,first_order,2.3310840462145013e-6,0.0009641647338867188,15,0.0002386318677297439,0.0,25,16,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,
160,ROSENBR,2,0,0,first_order,8.51707498558393e-12,0.0009438991546630859,20,0.0001187167591329439,0.0,28,21,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,
161,ROSENBRTU,2,0,0,first_order,3.3931720252493954e-17,0.0034508705139160156,89,5.664130615246574e-8,0.0,124,90,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,
162,ROSZMAN1LS,4,0,0,first_order,0.15685415360896782,0.0010960102081298828,1,0.001618438902153249,0.0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
163,S308,2,0,0,first_order,0.773199056495579,0.0004649162292480469,8,5.221793831507676e-6,0.0,10,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,
164,SENSORS,100,0,0,first_order,-2024.9999999999948,0.6443870067596436,31,1.773193840594093e-5,0.0,37,32,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,
165,SINEVAL,2,0,0,first_order,2.111162279036968e-18,0.0016689300537109375,42,3.0781631355978694e-8,0.0,65,43,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,
166,SISSER,2,0,0,first_order,1.0657852147059347e-8,0.0005640983581542969,12,5.515632548703114e-6,0.0,13,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,
167,SNAIL,2,0,0,first_order,5.771780142491274e-17,0.003083944320678711,62,1.5194446747423004e-8,0.0,82,63,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,
168,SPIN2LS,102,0,0,first_order,2.99244953913166e-20,0.31748199462890625,6,6.180085695432913e-9,0.0,7,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,
169,SSI,3,0,0,max_eval,1.1319437153565516e-7,0.020483970642089844,692,0.22485510835863623,0.0,1000,693,0,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,
170,STRATEC,10,0,0,max_time,2215.302777319939,10.529041051864624,10,1424.7123073618538,0.0,19,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,
171,STREG,4,0,0,first_order,4.731884325266608,0.00010013580322265625,1,4.639426214066862,0.0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
172,STRTCHDV,10,0,0,first_order,1.6839958954576985e-8,0.002061128616333008,12,2.3385579739603943e-5,0.0,13,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,
173,THURBERLS,7,0,0,first_order,5642.7136628408825,0.004055976867675781,14,64.23788648371226,0.0,31,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,
174,TOINTGOR,50,0,0,first_order,1373.9054606636453,0.0009899139404296875,6,2.1931953850482132e-6,0.0,7,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,
175,TOINTPSP,50,0,0,first_order,225.56040942188577,0.002418994903564453,17,2.644686671958379e-9,0.0,40,18,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,
176,TOINTQOR,50,0,0,first_order,1175.472222146169,0.0002090930938720703,1,3.21842146457198e-14,0.0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
177,TRIGON1,10,0,0,first_order,4.34202409763655e-19,0.0006949901580810547,5,3.329091609058727e-9,0.0,6,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
178,TRIGON2,10,0,0,first_order,2.9679558297921798,0.0009300708770751953,12,2.269315724327386e-5,0.0,13,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,
179,VANDANMSLS,22,0,0,max_eval,10.741747968843248,0.18987393379211426,999,0.001349282706757466,0.0,1000,1000,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,
