id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
174,TOINTGOR,50,0,0,first_order,1373.9054606636569,0.0052411556243896484,144,8.027775722069861e-6,0.0,153,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
175,TOINTPSP,50,0,0,first_order,225.56040942188588,0.00360107421875,135,9.449111448313408e-7,0.0,155,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
176,TOINTQOR,50,0,0,first_order,1175.4722221461693,0.0009059906005859375,43,1.5461086605359345e-6,0.0,49,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
177,TRIGON1,10,0,0,first_order,4.8160841833085765e-15,0.0008721351623535156,50,3.4095879427661774e-7,0.0,57,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
178,TRIGON2,10,0,0,first_order,12.665816168505822,0.0017108917236328125,82,2.423975798087709e-6,0.0,110,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
179,VANDANMSLS,22,0,0,first_order,7.797368757639201,0.002577066421508789,51,3.8256153025111874e-8,0.0,65,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
180,VARDIM,200,0,0,first_order,403612.91341367504,0.0018091201782226562,25,1.0494762219295181e8,0.0,56,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
181,VESUVIALS,8,0,0,first_order,3461.245244803627,0.00899505615234375,9,0.029900029268193677,0.0,40,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
182,VESUVIOLS,8,0,0,first_order,1464.6004440854886,2.019727945327759,3436,1.550898955226369,0.0,4104,3923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
183,VESUVIOULS,8,0,0,first_order,0.4771193496847822,2.008512020111084,3515,0.0009759078153692678,0.0,3891,3782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
184,VIBRBEAM,8,0,0,first_order,8.78411343495997,0.053056955337524414,1140,7.827655146959103,0.0,1459,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
185,WATSON,12,0,0,first_order,1.5500075606269922e-7,0.011131048202514648,631,2.9521322642536942e-6,0.0,760,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
186,WAYSEA1,2,0,0,first_order,5.604307603345923e-11,0.0003409385681152344,19,0.0008508366249161743,0.0,42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
187,WAYSEA2,2,0,0,first_order,3.838179524449124e-14,0.0004189014434814453,16,2.724043971159952e-7,0.0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
188,YFITU,3,0,0,first_order,6.724839873734936e-13,0.001371145248413086,76,2.7093113153922734e-5,0.0,104,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
189,ZANGWIL2,2,0,0,first_order,-18.200000009100002,0.00019884109497070312,2,0.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
