id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
161,ROSENBRTU,2,0,0,user,0.824621902598334,0.004789113998413086,157,0.7642402264743442,0.0,271,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162,ROSZMAN1LS,4,0,0,first_order,0.1568670145520117,0.00013685226440429688,3,0.0002011753294346704,0.0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
163,S308,2,0,0,first_order,0.7731990578288028,0.0005490779876708984,15,8.573835396110818e-5,0.0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
164,SENSORS,100,0,0,first_order,-2024.9999999999957,0.8578100204467773,62,4.899094203508515e-5,0.0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
165,SINEVAL,2,0,0,first_order,3.9389374698613424e-15,0.006850004196166992,200,3.1008143776841006e-6,0.0,372,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
166,SISSER,2,0,0,first_order,1.810438747998303e-8,0.000926971435546875,14,8.21517586564807e-6,0.0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
167,SNAIL,2,0,0,first_order,3.123063382350243e-14,0.011166095733642578,268,3.534438888400887e-7,0.0,474,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
168,SPIN2LS,102,0,0,first_order,4.219137077649534e-8,0.10650491714477539,52,0.006615817998818564,0.0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
169,SSI,3,0,0,user,0.012195163988795586,0.007153987884521484,125,0.2328709472284203,0.0,237,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
170,STRATEC,10,0,0,max_time,2543.3890617513475,10.05667495727539,112,539.9409474438668,0.0,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
171,STREG,4,0,0,user,8.600290674286079e19,0.0019969940185546875,32,2.7658674511754303e14,0.0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
172,STRTCHDV,10,0,0,first_order,2.0150400986034093e-7,0.0052700042724609375,32,3.3866013222864465e-5,0.0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,THURBERLS,7,0,0,user,2.7706116610194272e6,0.029143095016479492,213,4.357211321306377e7,0.0,386,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
174,TOINTGOR,50,0,0,first_order,1373.9054607127161,0.08353614807128906,277,0.00040825651510314754,0.0,457,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
175,TOINTPSP,50,0,0,first_order,225.56040942221117,0.15223097801208496,271,9.666697530023837e-5,0.0,450,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
176,TOINTQOR,50,0,0,first_order,1175.4722221467225,0.01705002784729004,67,6.972710852100043e-5,0.0,111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
177,TRIGON1,10,0,0,first_order,4.221409258147644e-12,0.01594090461730957,122,1.3070648502717972e-5,0.0,199,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
178,TRIGON2,10,0,0,first_order,2.8307763955591008,0.028049945831298828,202,0.0001953497634242011,0.0,334,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
179,VANDANMSLS,22,0,0,first_order,9.623042719921974,0.0007758140563964844,13,3.2303889292807135e-6,0.0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
180,VARDIM,200,0,0,user,5.799242325868669e9,0.011553049087524414,18,1.377833042612905e11,0.0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
181,VESUVIALS,8,0,0,user,3188.0121734698437,0.1664741039276123,85,1.0485113592459577e6,0.0,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
182,VESUVIOLS,8,0,0,max_eval,1588.070320968161,1.123337984085083,566,248649.3519629834,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
183,VESUVIOULS,8,0,0,max_eval,0.7678181565292589,1.2408239841461182,575,24.346113803712903,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
184,VIBRBEAM,8,0,0,user,2909.5709086248944,0.013216018676757812,48,3.7042640284091175e7,0.0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
185,WATSON,12,0,0,max_eval,1.6591271450838903e-5,0.1423630714416504,589,0.0010858913806865798,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
186,WAYSEA1,2,0,0,first_order,0.003597204177299453,0.0007388591766357422,24,0.5340604694533605,0.0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
187,WAYSEA2,2,0,0,first_order,1.577608193909513e-6,0.002035856246948242,61,0.0013735278924027377,0.0,111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
188,YFITU,3,0,0,max_eval,27.054516914250193,0.0511021614074707,551,4.701544094257443,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
189,ZANGWIL2,2,0,0,first_order,-18.200000009100002,6.103515625e-5,2,0.0,0.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
